자료년도,국가구분,시도,시군구,시가화건조지역,농업지역,산림지역,초지,습지,나지,수역,합계
1990,남한,서울특별시,도봉구,9.1413,0,9.909,0.9585,0.0009,0.7398,0,20.7495
1990,남한,서울특별시,동대문구,11.8188,0,1.2123,0.8856,0.0045,0.4878,0.072,14.481
1990,남한,서울특별시,동작구,10.6317,0,3.1833,2.0862,0.0018,0.4428,1.0413,17.3871
1990,남한,서울특별시,마포구,13.9599,0.1098,2.1726,3.0042,0.0126,0.999,4.3893,24.6474
1990,남한,서울특별시,서대문구,9.2826,0,5.3892,2.2518,0.0054,0.5274,0,17.4564
1990,남한,서울특별시,서초구,17.8092,2.3598,20.9709,2.9502,0.0414,2.2563,1.5147,47.9025
1990,남한,서울특별시,성동구,11.7351,0,0.8865,1.3086,0.0153,0.9549,1.656,16.5564
1990,남한,서울특별시,성북구,13.5675,0.0144,7.9263,1.8639,0,1.0044,0.0036,24.3801
1990,남한,서울특별시,송파구,20.0799,0.6174,4.527,3.8646,0.0144,1.6632,2.9088,33.6753
1990,남한,서울특별시,양천구,10.1907,0.0756,3.0105,3.3921,0.0072,1.0197,0.1413,17.8371
1990,남한,서울특별시,영등포구,14.3613,0.0018,0.9846,2.5191,0.0072,0.882,2.8566,21.6126
1990,남한,서울특별시,용산구,11.5506,0,2.4849,3.3966,0.0153,0.7596,3.0132,21.2202
1990,남한,서울특별시,은평구,11.7963,0.0369,15.5187,3.1581,0.0045,0.7893,0,31.3038
1990,남한,서울특별시,종로구,7.6662,0,11.9457,3.3417,0.0081,0.9126,0.0009,23.8752
1990,남한,서울특별시,중구,7.4988,0.0009,1.5417,0.7461,0.0009,0.2556,0,10.044
1990,남한,서울특별시,중랑구,10.5219,0.0342,5.1777,1.7091,0.0036,0.495,0.0018,17.9433
1990,남한,울산광역시,남구,30.7269,3.5469,17.4429,14.787,0.1422,4.6944,4.4478,75.7881
1990,남한,울산광역시,동구,10.6137,1.0629,17.5014,4.9311,0.0072,2.1789,1.6623,37.9575
1990,남한,울산광역시,북구,12.4236,31.2192,99.2745,11.8152,0.0576,2.9043,1.4445,159.1389
1990,남한,울산광역시,울주군,19.395,132.5259,526.3137,58.2003,1.6515,13.833,6.9894,758.9088
1990,남한,울산광역시,중구,8.181,5.7429,13.6728,5.4315,0.0936,2.6964,0.6696,36.4878
1990,남한,인천광역시,강화군,10.9737,184.4793,177.4566,18.1782,15.8742,10.3203,40.4568,457.7391
1990,남한,인천광역시,계양구,13.2147,15.7941,11.7189,2.6811,0.0306,2.0538,0.1161,45.6093
1990,남한,인천광역시,남구,18.8685,0.1125,1.7271,1.2834,0.0081,2.34,0.3591,24.6987
1990,남한,인천광역시,남동구,21.3552,13.3623,13.3668,5.0256,2.2356,3.4758,19.6812,78.5025
1990,남한,인천광역시,동구,6.1632,0,0.0576,0.1827,0.0171,0.4068,0.2151,7.0425
1990,남한,인천광역시,부평구,18.7452,1.9863,4.7898,4.2219,0.0027,2.232,0.0117,31.9896
1990,남한,인천광역시,서구,35.6499,39.7755,27.0072,6.6402,6.8742,11.9817,3.4785,131.4072
1990,남한,인천광역시,연수구,10.0467,0.3717,3.9699,2.7576,0.7047,7.0218,22.7115,47.5839
1990,남한,인천광역시,옹진군,2.1924,19.7982,105.7383,5.5143,8.6562,11.2824,40.8015,193.9833
1990,남한,인천광역시,중구,13.9329,19.7325,34.3566,5.7132,36.0873,24.3801,12.0303,146.2329
