"model","focal_variable","species","focal_value","estimate","lower_95","upper_95"
"climate_ratio_only","ratio_sun_z","cerana",-0.898372851712743,9.56577047715686,3.45208052430263,23.4118455814264
"climate_ratio_only","ratio_sun_z","cerana",-0.848944365457395,9.52668273369573,3.44612619120444,23.3424332146017
"climate_ratio_only","ratio_sun_z","cerana",-0.799515879202047,9.48783400059634,3.43982198936876,23.2731460561025
"climate_ratio_only","ratio_sun_z","cerana",-0.7500873929467,9.44922269459397,3.42406270191423,23.2024272988941
"climate_ratio_only","ratio_sun_z","cerana",-0.700658906691352,9.41084724399221,3.4086032833431,23.1319310884323
"climate_ratio_only","ratio_sun_z","cerana",-0.651230420436005,9.37270608856854,3.39324322691989,23.0616567105353
"climate_ratio_only","ratio_sun_z","cerana",-0.601801934180657,9.33479767948081,3.37798191355289,22.9916034534688
"climate_ratio_only","ratio_sun_z","cerana",-0.55237344792531,9.29712047917454,3.36281872766,22.9217706079378
"climate_ratio_only","ratio_sun_z","cerana",-0.502944961669962,9.25967296129096,3.34775305715151,22.8266088606259
"climate_ratio_only","ratio_sun_z","cerana",-0.453516475414614,9.222453610576,3.33300161312529,22.6968354796076
"climate_ratio_only","ratio_sun_z","cerana",-0.404087989159267,9.18546092278998,3.31844341043573,22.5847395243336
"climate_ratio_only","ratio_sun_z","cerana",-0.354659502903919,9.14869340461814,3.30397935458866,22.4441085423586
"climate_ratio_only","ratio_sun_z","cerana",-0.305231016648572,9.11214957358197,3.28960885537921,22.3174996920253
"climate_ratio_only","ratio_sun_z","cerana",-0.255802530393224,9.07582795795128,3.27533132597136,22.1920512193631
"climate_ratio_only","ratio_sun_z","cerana",-0.206374044137877,9.03972709665714,3.26114618288141,22.0673259606568
"climate_ratio_only","ratio_sun_z","cerana",-0.156945557882529,9.00384553920554,3.25744988059336,21.9433198007075
"climate_ratio_only","ratio_sun_z","cerana",-0.107517071627182,8.96818184559176,3.24651722547341,21.8200286479355
"climate_ratio_only","ratio_sun_z","cerana",-0.0580885853718338,8.93273458621563,3.22968421291366,21.6974484342439
"climate_ratio_only","ratio_sun_z","cerana",-0.00866009911648646,8.89750234179746,3.21297852936967,21.5755751148824
"climate_ratio_only","ratio_sun_z","cerana",0.0407683871388613,8.8624837032947,3.19639923126531,21.4544046683123
"climate_ratio_only","ratio_sun_z","cerana",0.0901968733942087,8.82767727181942,3.18073252609556,21.3339330960717
"climate_ratio_only","ratio_sun_z","cerana",0.139625359649556,8.79308165855649,3.16361604961375,21.2141564226416
"climate_ratio_only","ratio_sun_z","cerana",0.189053845904904,8.75869548468245,3.14802511374518,21.094364212424
"climate_ratio_only","ratio_sun_z","cerana",0.238482332160252,8.72451738128516,3.13422232058346,20.9746955152975
"climate_ratio_only","ratio_sun_z","cerana",0.287910818415599,8.69054598928415,3.12050931784407,20.8557206800542
"climate_ratio_only","ratio_sun_z","cerana",0.337339304670947,8.65677995935168,3.1070599227999,20.7374357528662
"climate_ratio_only","ratio_sun_z","cerana",0.386767790926294,8.62321795183451,3.09990449083607,20.6198368025932
"climate_ratio_only","ratio_sun_z","cerana",0.436196277181642,8.58985863667636,3.09350272694286,20.5029199206513
"climate_ratio_only","ratio_sun_z","cerana",0.485624763436989,8.55670069334108,3.08712127752113,20.3866812208823
"climate_ratio_only","ratio_sun_z","cerana",0.535053249692337,8.52374281073647,3.08076007533291,20.2711168394234
"climate_ratio_only","ratio_sun_z","cerana",0.584481735947684,8.49098368713887,3.07441905336924,20.156222934578
"climate_ratio_only","ratio_sun_z","cerana",0.633910222203032,8.45842203011832,3.0680981448494,20.0419956866872
"climate_ratio_only","ratio_sun_z","cerana",0.68333870845838,8.42605655646449,3.06179728322013,19.9284312980019
"climate_ratio_only","ratio_sun_z","cerana",0.732767194713727,8.39388599211315,3.05412012971874,19.8155259925557
"climate_ratio_only","ratio_sun_z","cerana",0.782195680969075,8.36190907207349,3.03462190208971,19.7032760160382
"climate_ratio_only","ratio_sun_z","cerana",0.831624167224422,8.33012454035586,3.01803809469184,19.5916776356699
"climate_ratio_only","ratio_sun_z","cerana",0.88105265347977,8.2985311499004,3.01256860306788,19.4807271400767
"climate_ratio_only","ratio_sun_z","cerana",0.930481139735117,8.2671276625061,2.99734648447499,19.3704208391658
"climate_ratio_only","ratio_sun_z","cerana",0.979909625990465,8.23591284876066,2.98224112059517,19.2607550640021
"climate_ratio_only","ratio_sun_z","cerana",1.02933811224581,8.20488548797087,2.96728431978471,19.1517261666855
