"model","focal_variable","species","focal_value","estimate","lower_95","upper_95"
"climate_sum_only","sum_sun_z","mellifera",-2.13781120936001,52.6992372910818,12.8159153674863,159.774066752118
"climate_sum_only","sum_sun_z","mellifera",-2.09015369872984,52.1649500197982,12.835739772722,158.559227013181
"climate_sum_only","sum_sun_z","mellifera",-2.04249618809967,51.6401175536737,12.8561890126293,157.354219717655
"climate_sum_only","sum_sun_z","mellifera",-1.9948386774695,51.1245593070447,12.9036515584301,154.363439346313
"climate_sum_only","sum_sun_z","mellifera",-1.94718116683933,50.6180987539404,12.9787436020747,152.050656519951
"climate_sum_only","sum_sun_z","mellifera",-1.89952365620916,50.1205633307349,13.0543021562469,149.8309352456
"climate_sum_only","sum_sun_z","mellifera",-1.85186614557899,49.6317843413254,13.1303300402591,146.364706888061
"climate_sum_only","sum_sun_z","mellifera",-1.80420863494882,49.1515968647696,13.1823879432948,143.683145567646
"climate_sum_only","sum_sun_z","mellifera",-1.75655112431865,48.679839665314,13.12767334472,140.459147910852
"climate_sum_only","sum_sun_z","mellifera",-1.70889361368848,48.2163551047497,12.9903540370955,137.232225158629
"climate_sum_only","sum_sun_z","mellifera",-1.66123610305831,47.7609890570324,13.0101527146737,134.509498192599
"climate_sum_only","sum_sun_z","mellifera",-1.61357859242814,47.3135908251055,13.0285099212766,131.920956569763
"climate_sum_only","sum_sun_z","mellifera",-1.56592108179797,46.8740130598669,13.0028645673303,130.247341062031
"climate_sum_only","sum_sun_z","mellifera",-1.5182635711678,46.4421116812224,13.0617850635538,129.063831880635
"climate_sum_only","sum_sun_z","mellifera",-1.47060606053763,46.0177458011687,12.9971921405494,127.89109361728
"climate_sum_only","sum_sun_z","mellifera",-1.42294854990746,45.6007776488526,12.8981019683258,126.894480084438
"climate_sum_only","sum_sun_z","mellifera",-1.37529103927729,45.1910724975526,12.9298319778385,125.375305508507
"climate_sum_only","sum_sun_z","mellifera",-1.32763352864712,44.7884985935321,12.9187735936243,123.555893845168
"climate_sum_only","sum_sun_z","mellifera",-1.27997601801695,44.3929270867136,12.9383143593109,122.971875717238
"climate_sum_only","sum_sun_z","mellifera",-1.23231850738678,44.0042319631255,13.0069703692026,122.166585277569
"climate_sum_only","sum_sun_z","mellifera",-1.18466099675661,43.6222899790749,13.0028500744641,121.049281985687
"climate_sum_only","sum_sun_z","mellifera",-1.13700348612644,43.2469805969996,12.9853215110292,117.965638908497
"climate_sum_only","sum_sun_z","mellifera",-1.08934597549627,42.8781859229548,13.061162775462,116.048806150634
"climate_sum_only","sum_sun_z","mellifera",-1.0416884648661,42.5157906456917,13.0189941051304,115.505230781478
"climate_sum_only","sum_sun_z","mellifera",-0.994030954235931,42.159681977285,12.9818219622199,114.875550579199
"climate_sum_only","sum_sun_z","mellifera",-0.946373443605761,41.8097495952693,12.9307768966311,113.398662865823
"climate_sum_only","sum_sun_z","mellifera",-0.898715932975591,41.4658855862436,12.8869109045988,111.933491883646
"climate_sum_only","sum_sun_z","mellifera",-0.851058422345421,41.1279843909053,12.8388514180776,110.450306981604
"climate_sum_only","sum_sun_z","mellifera",-0.803400911715251,40.7959427504772,12.6075262261356,109.12563396417
"climate_sum_only","sum_sun_z","mellifera",-0.755743401085081,40.4696596544887,12.4726367794676,107.662983966112
"climate_sum_only","sum_sun_z","mellifera",-0.708085890454911,40.1490362898779,12.5440489725026,106.896348195283
"climate_sum_only","sum_sun_z","mellifera",-0.660428379824741,39.8339759913782,12.616133657296,105.634047386127
"climate_sum_only","sum_sun_z","mellifera",-0.612770869194571,39.5243841931575,12.624453632302,104.537895665558
"climate_sum_only","sum_sun_z","mellifera",-0.565113358564401,39.2201683816746,12.5862345163996,103.243132828101
"climate_sum_only","sum_sun_z","mellifera",-0.517455847934231,38.9212380497248,12.5039049301572,102.126337834103
"climate_sum_only","sum_sun_z","mellifera",-0.469798337304061,38.6275046516397,12.315758019315,100.218901317894
"climate_sum_only","sum_sun_z","mellifera",-0.422140826673891,38.3388815596145,12.1984782660043,99.4260814909942
"climate_sum_only","sum_sun_z","mellifera",-0.374483316043721,38.0552840211316,12.0460913681025,98.0531897165648
"climate_sum_only","sum_sun_z","mellifera",-0.326825805413551,37.7766291174525,11.8962386036562,96.3485509098537
