,nearby_idx_1,nearby_idx_2,nearby_idx_3,nearby_idx_4,nearby_idx_5,nearby_idx_6,nearby_idx_7,nearby_idx_8,nearby_idx_9,nearby_idx_10,nearby_idx_11,nearby_idx_12,nearby_idx_13,nearby_idx_14,nearby_idx_15,nearby_idx_16,nearby_idx_17,nearby_idx_18,nearby_idx_19,nearby_idx_20,nearby_idx_21,nearby_idx_22,nearby_idx_23,nearby_idx_24,nearby_idx_25,nearby_idx_26,nearby_idx_27,nearby_idx_28
114,167.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,123.0,32.0,991.0,1055.0,65.0,89.0,74.0,,,,,,,,,,,,,,,,,,,,,
117,151.0,160.0,77.0,83.0,489.0,,,,,,,,,,,,,,,,,,,,,,,
118,1012.0,327.0,323.0,283.0,188.0,207.0,282.0,278.0,340.0,341.0,342.0,162.0,739.0,279.0,353.0,563.0,362.0,288.0,232.0,233.0,166.0,322.0,,,,,,
119,828.0,759.0,243.0,853.0,656.0,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,180.0,660.0,847.0,1040.0,26.0,45.0,205.0,212.0,349.0,665.0,230.0,213.0,728.0,681.0,1001.0,223.0,679.0,262.0,320.0,,,,,,,,,
122,163.0,886.0,915.0,476.0,125.0,270.0,128.0,391.0,530.0,756.0,,,,,,,,,,,,,,,,,,
123,116.0,32.0,991.0,1055.0,65.0,89.0,74.0,,,,,,,,,,,,,,,,,,,,,
124,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,163.0,886.0,915.0,476.0,270.0,122.0,128.0,391.0,530.0,756.0,,,,,,,,,,,,,,,,,,
126,136.0,367.0,802.0,66.0,334.0,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,163.0,886.0,915.0,476.0,125.0,270.0,122.0,391.0,530.0,756.0,,,,,,,,,,,,,,,,,,
129,308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,319.0,1003.0,611.0,866.0,17.0,,,,,,,,,,,,,,,,,,,,,,,
131,401.0,314.0,345.0,264.0,395.0,492.0,506.0,148.0,411.0,480.0,607.0,394.0,502.0,531.0,462.0,228.0,459.0,461.0,542.0,634.0,374.0,495.0,,,,,,
132,237.0,252.0,332.0,487.0,602.0,613.0,790.0,475.0,629.0,,,,,,,,,,,,,,,,,,,
133,913.0,514.0,946.0,44.0,57.0,58.0,200.0,413.0,1073.0,,,,,,,,,,,,,,,,,,,
134,753.0,558.0,568.0,102.0,794.0,309.0,466.0,299.0,266.0,298.0,520.0,1124.0,28.0,,,,,,,,,,,,,,,
135,79.0,210.0,218.0,418.0,591.0,547.0,546.0,101.0,14.0,3.0,,,,,,,,,,,,,,,,,,
136,126.0,367.0,802.0,66.0,334.0,,,,,,,,,,,,,,,,,,,,,,,
137,417.0,224.0,1143.0,35.0,34.0,,,,,,,,,,,,,,,,,,,,,,,
138,694.0,723.0,,,,,,,,,,,,,,,,,,,,,,,,,,
139,12.0,69.0,317.0,7.0,683.0,758.0,496.0,649.0,1080.0,13.0,,,,,,,,,,,,,,,,,,
140,1112.0,174.0,27.0,546.0,101.0,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,837.0,361.0,846.0,672.0,70.0,689.0,954.0,1047.0,,,,,,,,,,,,,,,,,,,,
143,1154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,277.0,548.0,,,,,,,,,,,,,,,,,,,,,,,,,,
145,536.0,550.0,981.0,540.0,326.0,146.0,538.0,402.0,,,,,,,,,,,,,,,,,,,,
146,536.0,550.0,981.0,540.0,326.0,538.0,145.0,402.0,,,,,,,,,,,,,,,,,,,,
