Latitude,Longitude,축종,발생두수,ID,nearby_1,nearby_2,nearby_3,nearby_4,nearby_5,nearby_6,nearby_7,nearby_8,nearby_9,nearby_10,nearby_11,nearby_12,nearby_13,nearby_14,nearby_15,nearby_16,nearby_17,nearby_18,nearby_19,nearby_20,nearby_21,nearby_22,nearby_23,nearby_24,nearby_25,nearby_26,nearby_27,nearby_28,nearby_29,nearby_30,nearby_31,nearby_32,nearby_33,nearby_34,nearby_35,nearby_36,nearby_37,nearby_38,nearby_39,nearby_40,nearby_41,nearby_42,nearby_43,nearby_44,nearby_45,nearby_46,nearby_47,nearby_48,nearby_49,nearby_50,nearby_51,nearby_52,nearby_53,nearby_54,nearby_55,nearby_56,nearby_57,nearby_58,nearby_59,nearby_60,nearby_61,nearby_62,nearby_63,nearby_64,nearby_65,nearby_66,nearby_67,nearby_68,nearby_69,nearby_70,nearby_71,nearby_72,nearby_73,nearby_74,nearby_75,nearby_76,nearby_77,nearby_78,nearby_79,nearby_80,nearby_81,nearby_82,nearby_83,nearby_84,nearby_85,nearby_86,nearby_87,nearby_88,nearby_89,nearby_90,nearby_91,nearby_92,nearby_93,nearby_94,nearby_95,nearby_96,nearby_97,nearby_98,nearby_99,nearby_100,nearby_101,nearby_102,nearby_103,nearby_104,nearby_105,nearby_106,nearby_107,nearby_108,nearby_109,nearby_110,nearby_111,nearby_112,nearby_113,nearby_114,nearby_115,nearby_116,nearby_117,nearby_118,nearby_119,nearby_120,nearby_121,nearby_122,nearby_123
37.8708318,126.9915122,벌-개량종,1,5295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.6618261,129.4303147,벌-개량종,50,569,569.0,806.0,1557.0,2028.0,2864.0,3331.0,3952.0,4785.0,5432.0,5705.0,6295.0,7904.0,6762.0,8779.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0389006,126.9988465,벌-개량종,1,6717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.7072744,128.9161633,벌-개량종,60,2666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4392596,129.1784042,벌-개량종,40,1428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.2140877,129.3262249,벌-개량종,20,8872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.2340491,129.1662579,벌-개량종,80,5936,5936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.3608544,129.1989029,벌-개량종,150,7668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5847694,128.6407562,벌-개량종,40,1131,2661.0,8602.0,1126.0,1117.0,6005.0,6019.0,8606.0,1822.0,1130.0,2673.0,6024.0,8544.0,8608.0,1131.0,2674.0,6025.0,8545.0,8609.0,671.0,2675.0,4312.0,1132.0,3114.0,3636.0,6027.0,6605.0,7100.0,7694.0,672.0,1133.0,2676.0,6028.0,8610.0,5632.0,8612.0,6029.0,673.0,8546.0,674.0,6032.0,675.0,6034.0,4317.0,1137.0,8611.0,1136.0,6035.0,1134.0,2680.0,2679.0,676.0,2678.0,4318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5847694,128.6407562,벌-개량종,30,1131,2661.0,8602.0,1126.0,1117.0,6005.0,6019.0,8606.0,1822.0,1130.0,2673.0,6024.0,8544.0,8608.0,1131.0,2674.0,6025.0,8545.0,8609.0,671.0,2675.0,4312.0,1132.0,3114.0,3636.0,6027.0,6605.0,7100.0,7694.0,672.0,1133.0,2676.0,6028.0,8610.0,5632.0,8612.0,6029.0,673.0,8546.0,674.0,6032.0,675.0,6034.0,4317.0,1137.0,8611.0,1136.0,6035.0,1134.0,2680.0,2679.0,676.0,2678.0,4318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
