Latitude,Longitude,축종,발생두수,ID,종,카운트
36.4571359,129.3230741,벌-재래종,115,1669,광대싸리,1
35.2053772,128.1165386,벌-재래종,150,7455,족제비싸리,1
36.7047911,128.8286576,벌-재래종,8,3440,밤나무,1
38.0375603,128.5476157,벌-재래종,9,2725,다래,1
37.4048732,128.1453026,벌-재래종,1,6584,아까시나무,2
36.2648464,127.404001,벌-재래종,2,167,갈참나무,1
36.3321473,128.8067483,벌-재래종,2,2535,다래,1
37.3526611,127.8023805,벌-재래종,29,4246,붉나무,1
34.7040567,127.1445908,벌-재래종,1,1474,광대싸리,1
34.7040567,127.1445908,벌-재래종,1,1474,광대싸리,1
37.9529831,128.1965588,벌-재래종,4,723,개다래,1
37.9529831,128.1965588,벌-재래종,1,723,개다래,1
37.8059381,127.8497773,벌-재래종,4,5250,산초나무,3
37.7120915,127.7440552,벌-재래종,4,4340,붉나무,1
37.5933552,128.1664828,벌-재래종,3,7107,애기똥풀,1
37.8228476,127.9549594,벌-재래종,7,682,개다래,4
37.8059381,127.8497773,벌-재래종,1,5250,산초나무,3
35.6899474,127.3178602,벌-재래종,6,6774,애기똥풀,1
37.3728454,128.4052788,벌-재래종,2,6574,아까시나무,1
35.6019213,127.1434343,벌-재래종,23,100,갈참나무,1
37.5631941,128.3127372,벌-재래종,2,7097,애기똥풀,1
34.4439909,126.5877817,벌-재래종,1,7417,족제비싸리,1
37.3411588,126.7220994,벌-재래종,1,7675,족제비싸리,1
37.5710458,127.6416006,벌-재래종,9,2299,굴참나무,3
37.8173563,128.0004157,벌-재래종,3,682,개다래,4
37.7410335,128.0839616,벌-재래종,1,6639,아까시나무,1
38.1922602,128.1994956,벌-재래종,3,2347,굴참나무,1
37.9478221,128.142228,벌-재래종,1,1903,광대싸리,1
37.7120915,127.7440552,벌-재래종,1,4340,붉나무,1
37.6518777,127.74339,벌-재래종,20,1141,개옻나무,2
37.6324523,127.7520913,벌-재래종,5,1141,개옻나무,2
36.6536828,128.9347622,벌-재래종,1,3440,밤나무,1
38.0834935,128.4610259,벌-재래종,6,2725,다래,1
37.7953885,128.0466435,벌-재래종,3,6639,아까시나무,1
37.4405188,127.8508915,벌-재래종,51,4246,붉나무,1
37.5066872,127.4717254,벌-재래종,2,1450,고추,1
35.5988084,127.3825703,벌-재래종,50,8383,주름잎,1
37.50515,128.6013888,벌-재래종,3,2654,다래,1
36.3321473,128.8067483,벌-재래종,6,2535,다래,1
35.2714721,127.8166414,벌-재래종,2,6733,애기똥풀,1
37.4351307,128.1088047,벌-재래종,3,6584,아까시나무,2
36.6966455,128.969731,벌-재래종,1,8855,초피나무,1
37.0060873,128.9653695,벌-재래종,1,1707,광대싸리,1
36.9225591,128.8623667,벌-재래종,1,1705,광대싸리,1
37.5631941,128.3127372,벌-재래종,1,7097,애기똥풀,1
37.5631941,128.3127372,벌-재래종,1,7097,애기똥풀,1
37.2534286,128.726245,벌-재래종,4,1760,광대싸리,1
38.1681838,128.1786506,벌-재래종,5,6151,신갈나무,1
35.6990304,127.590711,벌-재래종,18,3965,붉나무,1
37.7356068,128.2378592,벌-재래종,4,3666,밤나무,1
35.2202574,127.3881185,벌-재래종,1,6728,애기똥풀,1
37.3728454,128.4052788,벌-재래종,27,6574,아까시나무,1
37.2220583,128.8218722,벌-재래종,5,7650,족제비싸리,1
37.2597658,128.8729253,벌-재래종,15,6549,아까시나무,1
34.7026119,127.1659258,벌-재래종,1,1474,광대싸리,1
34.7026119,127.1659258,벌-재래종,1,1474,광대싸리,1
34.4608019,127.4680798,벌-재래종,1,11,갈참나무,1
35.1749839,126.5409272,벌-재래종,3,469,감나무,1
34.7026119,127.1659258,벌-재래종,1,1474,광대싸리,1
34.7026119,127.1659258,벌-재래종,1,1474,광대싸리,1
37.6544392,128.7821778,벌-재래종,1,6616,아까시나무,2
37.7267059,126.9116461,벌-재래종,1,5246,산초나무,1
34.9730223,127.1427854,벌-재래종,1,8717,초피나무,1
37.5306149,127.5850392,벌-재래종,3,2273,굴참나무,1
34.7026119,127.1659258,벌-재래종,1,1474,광대싸리,1
35.8867998,128.4910476,벌-재래종,120,5442,상수리나무,1
35.8867998,128.4910476,벌-재래종,120,5442,상수리나무,1
37.9529831,128.1965588,벌-재래종,1,723,개다래,1
37.245738,129.0698695,벌-재래종,3,1416,고욤나무,1
38.0087006,128.1617215,벌-재래종,4,6131,신갈나무,1
37.5893415,127.4947634,벌-재래종,2,4310,붉나무,1
37.5893415,127.4947634,벌-재래종,1,4310,붉나무,1
37.763285,127.5286119,벌-재래종,10,1156,개옻나무,1
36.4837622,128.8900474,벌-재래종,1,7397,유채,1
37.0060873,128.9653695,벌-재래종,1,1707,광대싸리,1
37.0060873,128.9653695,벌-재래종,1,1707,광대싸리,1
36.6648281,127.6731019,벌-재래종,2,6448,아까시나무,1
36.9635809,127.9320017,벌-재래종,5,4143,붉나무,2
35.3338895,129.1732717,벌-재래종,3,1269,고욤나무,1
34.7015684,127.0514942,벌-재래종,1,1471,광대싸리,1
37.50515,128.6013888,벌-재래종,3,2654,다래,1
37.6011843,128.2265769,벌-재래종,1,670,개다래,1
36.3645223,129.3873596,벌-재래종,110,222,갈참나무,1
35.1849378,127.3547925,벌-재래종,1,65,갈참나무,1
37.4431918,128.8718084,벌-재래종,2,664,개다래,1
37.0060873,128.9653695,벌-재래종,2,1707,광대싸리,1
36.9786453,128.85124,벌-재래종,2,1705,광대싸리,1
37.3728454,128.4052788,벌-재래종,2,6574,아까시나무,1
37.6361022,128.3700029,벌-재래종,1,5633,생열귀나무,1
37.6110372,128.0775996,벌-재래종,1,8213,졸참나무,1
37.3675393,128.1159262,벌-재래종,2,6584,아까시나무,2
37.6192937,127.5376046,벌-재래종,1,2672,다래,1
37.6622733,128.5594295,벌-재래종,6,7113,애기똥풀,1
37.4515774,127.654413,벌-재래종,4,5986,신갈나무,1
38.0834935,128.4610259,벌-재래종,12,2725,다래,1
37.6784735,127.9151229,벌-재래종,2,3659,밤나무,2
36.3735292,128.9007835,벌-재래종,2,7397,유채,1
36.5211412,128.555425,벌-재래종,1,3427,밤나무,1
34.7040567,127.1445908,벌-재래종,1,1474,광대싸리,1
34.7040567,127.1445908,벌-재래종,1,1474,광대싸리,1
38.1453645,128.1335981,벌-재래종,3,730,개다래,1
37.6361022,128.3700029,벌-재래종,2,5633,생열귀나무,1
35.0160601,127.0127779,벌-재래종,1,6717,애기똥풀,1
34.7040567,127.1445908,벌-재래종,1,1474,광대싸리,1
37.5558764,127.5817911,벌-재래종,4,2672,다래,1
37.5306149,127.5850392,벌-재래종,10,2273,굴참나무,1
37.5306149,127.5850392,벌-재래종,8,2273,굴참나무,1
34.4668234,126.8357079,벌-재래종,1,4657,산초나무,1
37.7120915,127.7440552,벌-재래종,9,4340,붉나무,1
36.630742,128.9132417,벌-재래종,1,3440,밤나무,1
37.5307719,128.7275235,벌-재래종,31,2650,다래,1
37.0565536,128.7909086,벌-재래종,5,4150,붉나무,1
36.5789495,128.7192854,벌-재래종,8,1663,광대싸리,1
34.7015684,127.0514942,벌-재래종,1,1471,광대싸리,1
35.1849378,127.3547925,벌-재래종,1,65,갈참나무,1
35.0117982,126.8818047,벌-재래종,1,59,갈참나무,1
34.7026119,127.1659258,벌-재래종,1,1474,광대싸리,1
34.7026119,127.1659258,벌-재래종,1,1474,광대싸리,1
34.7026119,127.1659258,벌-재래종,1,1474,광대싸리,1
37.1922511,128.8706731,벌-재래종,2,1030,개옻나무,1
37.2764225,127.355345,벌-재래종,1,7661,족제비싸리,1
37.3675393,128.1159262,벌-재래종,1,6584,아까시나무,2
35.7397064,127.1401714,벌-재래종,38,3967,붉나무,1
37.8303719,127.8955118,벌-재래종,5,682,개다래,4
36.9448146,128.9381286,벌-재래종,1,3004,떡갈나무,1
36.3735292,128.9007835,벌-재래종,2,7397,유채,1
37.017043,128.8162766,벌-재래종,4,951,개옻나무,1
37.3437715,127.1194183,벌-재래종,5,1072,개옻나무,1
35.1749839,126.5409272,벌-재래종,2,469,감나무,1
34.7026119,127.1659258,벌-재래종,1,1474,광대싸리,1
36.4518737,129.4294626,벌-재래종,20,222,갈참나무,1
37.7770615,128.0156889,벌-재래종,2,8550,주름잎,1
37.6011843,128.2265769,벌-재래종,2,670,개다래,1
36.7047911,128.8286576,벌-재래종,29,3440,밤나무,1
36.8744093,128.8887244,벌-재래종,4,1686,광대싸리,1
36.6932767,128.7045904,벌-재래종,5,3440,밤나무,1
34.5278304,126.8366131,벌-재래종,1,1934,굴참나무,1
36.9694817,128.7708492,벌-재래종,7,3006,떡갈나무,1
34.7128412,127.1870253,벌-재래종,1,1953,굴참나무,1
37.9529831,128.1965588,벌-재래종,2,723,개다래,1
37.5558764,127.5817911,벌-재래종,3,2672,다래,1
36.0302856,127.9284691,벌-재래종,7,2063,굴참나무,1
34.7015684,127.0514942,벌-재래종,1,1471,광대싸리,1
37.5019304,128.7080385,벌-재래종,10,2650,다래,1
37.753529,127.6204995,벌-재래종,3,395,갈참나무,2
37.763285,127.5286119,벌-재래종,1,1156,개옻나무,1
37.6139354,128.1511451,벌-재래종,10,7107,애기똥풀,1
38.1453645,128.1335981,벌-재래종,1,730,개다래,1
35.6030592,127.596053,벌-재래종,16,568,개다래,1
34.7015684,127.0514942,벌-재래종,2,1471,광대싸리,1
37.4048732,128.1453026,벌-재래종,2,6584,아까시나무,2
37.017043,128.8162766,벌-재래종,3,951,개옻나무,1
37.2082712,129.2480702,벌-재래종,10,8872,초피나무,1
36.6178391,127.60997,벌-재래종,15,209,갈참나무,1
37.6118996,128.3758853,벌-재래종,1,5633,생열귀나무,1
35.0987453,126.6155714,벌-재래종,2,4557,산검양옻나무,1
37.763285,127.5286119,벌-재래종,5,1156,개옻나무,1
37.5107169,127.6332539,벌-재래종,6,2273,굴참나무,1
36.0302856,127.9284691,벌-재래종,5,2063,굴참나무,1
36.8006931,127.1224079,벌-재래종,9,246,갈참나무,1
37.7803639,127.9135629,벌-재래종,6,682,개다래,4
37.7803639,127.9135629,벌-재래종,10,682,개다래,4
37.7803639,127.9135629,벌-재래종,5,682,개다래,4
37.6644484,128.4015336,벌-재래종,1,5633,생열귀나무,1
34.7015684,127.0514942,벌-재래종,1,1471,광대싸리,1
36.372711,127.1396642,벌-재래종,5,508,감나무,1
38.2264721,128.2324778,벌-재래종,4,2347,굴참나무,1
37.2919744,128.7445776,벌-재래종,12,7040,애기똥풀,1
35.2714721,127.8166414,벌-재래종,13,6733,애기똥풀,1
37.539564,128.1012695,벌-재래종,2,7107,애기똥풀,1
37.4048732,128.1453026,벌-재래종,1,6584,아까시나무,2
37.4351307,128.1088047,벌-재래종,8,6584,아까시나무,2
34.7015684,127.0514942,벌-재래종,1,1471,광대싸리,1
35.1378377,128.5161745,벌-재래종,2,8737,초피나무,1
35.123976,128.805758,벌-재래종,1,7859,졸참나무,1
35.1183254,128.5820345,벌-재래종,21,8737,초피나무,1
37.6644484,128.4015336,벌-재래종,2,5633,생열귀나무,1
37.3675393,128.1159262,벌-재래종,1,6584,아까시나무,2
35.0389006,126.9988465,벌-재래종,1,6717,애기똥풀,1
37.9429407,127.4806675,벌-재래종,1,1886,광대싸리,1
34.9918255,127.1324743,벌-재래종,1,8717,초피나무,1
34.9918255,127.1324743,벌-재래종,1,8717,초피나무,1
36.7877626,129.2030091,벌-재래종,62,596,개다래,1
36.9786453,128.85124,벌-재래종,3,1705,광대싸리,1
36.9786453,128.85124,벌-재래종,25,1705,광대싸리,1
36.7858857,126.4598336,벌-재래종,13,2981,떡갈나무,3
35.8134957,127.2866581,벌-재래종,11,2493,다래,1
37.4332607,128.143289,벌-재래종,2,6584,아까시나무,2
37.539564,128.1012695,벌-재래종,5,7107,애기똥풀,1
37.7754348,128.1419051,벌-재래종,2,6639,아까시나무,1
36.751179,128.9409492,벌-재래종,2,8855,초피나무,1
37.2310597,129.0577581,벌-재래종,14,527,감나무,1
37.4645144,127.9905951,벌-재래종,3,7108,애기똥풀,1
36.4571359,129.3230741,벌-재래종,30,1669,광대싸리,1
36.4785066,129.1679121,벌-재래종,120,2536,다래,1
38.2715512,128.2609359,벌-재래종,4,1205,개옻나무,1
35.2714721,127.8166414,벌-재래종,6,6733,애기똥풀,1
37.5306149,127.5850392,벌-재래종,8,2273,굴참나무,1
37.5306149,127.5850392,벌-재래종,10,2273,굴참나무,1
37.5558764,127.5817911,벌-재래종,4,2672,다래,1
37.6644484,128.4015336,벌-재래종,1,5633,생열귀나무,1
37.5631941,128.3127372,벌-재래종,2,7097,애기똥풀,1
37.5893415,127.4947634,벌-재래종,1,4310,붉나무,1
34.7347053,127.0449183,벌-재래종,1,4531,산검양옻나무,1
35.433975,127.6260086,벌-재래종,22,4575,산검양옻나무,1
37.5558764,127.5817911,벌-재래종,4,2672,다래,1
36.0226985,127.9082523,벌-재래종,8,139,갈참나무,1
36.0302856,127.9284691,벌-재래종,8,2063,굴참나무,1
35.433975,127.6260086,벌-재래종,42,4575,산검양옻나무,1
37.9993658,128.3250403,벌-재래종,3,7214,애기똥풀,1
35.354195,127.5896257,벌-재래종,1,788,개옻나무,1
38.0815097,127.4702373,벌-재래종,13,7225,애기똥풀,1
35.7169648,127.1893559,벌-재래종,30,3961,붉나무,1
35.1378377,128.5161745,벌-재래종,2,8737,초피나무,1
37.8624543,128.2199006,벌-재래종,12,2702,다래,1
37.9429407,127.4806675,벌-재래종,2,1886,광대싸리,1
37.497971,127.5050639,벌-재래종,1,3739,벼,1
38.0834935,128.4610259,벌-재래종,6,2725,다래,1
35.0735153,127.7475564,벌-재래종,16,8349,주름잎,1
37.3728454,128.4052788,벌-재래종,8,6574,아까시나무,1
35.5507352,127.4770543,벌-재래종,4,7891,졸참나무,1
36.4518737,129.4294626,벌-재래종,27,222,갈참나무,1
36.2063308,127.3890182,벌-재래종,1,167,갈참나무,1
