Latitude,Longitude,축종,발생두수,ID,nearby_1,nearby_2,nearby_3,nearby_4,nearby_5,nearby_6,nearby_7,nearby_8,nearby_9,nearby_10,nearby_11,nearby_12,nearby_13,nearby_14,nearby_15,nearby_16,nearby_17,nearby_18,nearby_19
38.0777327,127.519277,벌-개량종,5,6137,7225.0,6137.0,2739.0,1196.0,4441.0,,,,,,,,,,,,,,
38.1220161,127.5227384,벌-개량종,10,7225,,,,,,,,,,,,,,,,,,,
37.0527052,128.1900586,벌-개량종,2,5555,,,,,,,,,,,,,,,,,,,
37.5991199,127.5944092,벌-개량종,10,2685,,,,,,,,,,,,,,,,,,,
35.6305091,127.3303778,벌-개량종,60,8383,,,,,,,,,,,,,,,,,,,
35.7690276,128.6778895,벌-개량종,2,7492,1293.0,8795.0,4805.0,2492.0,7923.0,2879.0,1569.0,7492.0,1294.0,5721.0,7493.0,,,,,,,,
37.4788509,127.7376486,벌-개량종,32,7070,,,,,,,,,,,,,,,,,,,
38.0777327,127.519277,벌-개량종,7,6137,7225.0,6137.0,2739.0,1196.0,4441.0,,,,,,,,,,,,,,
37.4338372,128.6710446,벌-개량종,500,7664,,,,,,,,,,,,,,,,,,,
37.5424933,127.6341394,벌-개량종,8,2273,,,,,,,,,,,,,,,,,,,
35.3338086,128.3413471,벌-개량종,10,3931,3931.0,7467.0,,,,,,,,,,,,,,,,,
37.8654744,127.6461186,벌-개량종,30,8569,8569.0,7178.0,,,,,,,,,,,,,,,,,
36.954022,127.8155908,벌-개량종,100,8492,,,,,,,,,,,,,,,,,,,
36.0697318,128.9922003,벌-개량종,1,8813,,,,,,,,,,,,,,,,,,,
35.9520031,128.8967307,벌-개량종,400,480,,,,,,,,,,,,,,,,,,,
35.1198717,127.8975375,벌-개량종,70,1517,,,,,,,,,,,,,,,,,,,
36.4593809,128.2678457,벌-개량종,150,211,,,,,,,,,,,,,,,,,,,
36.4220469,129.1244183,벌-개량종,83,3434,,,,,,,,,,,,,,,,,,,
36.6728078,128.2986089,벌-개량종,140,2364,,,,,,,,,,,,,,,,,,,
36.2342795,128.5875878,벌-개량종,1,181,882.0,6870.0,4895.0,1334.0,7543.0,1636.0,3403.0,2926.0,5479.0,7993.0,181.0,6394.0,2359.0,,,,,,
37.1890654,129.0362358,벌-개량종,74,1411,6532.0,4211.0,1411.0,1754.0,634.0,5917.0,2599.0,7004.0,,,,,,,,,,,
37.2496686,129.0177973,벌-개량종,80,527,,,,,,,,,,,,,,,,,,,
37.831802,126.8173464,벌-개량종,90,7158,,,,,,,,,,,,,,,,,,,
36.2104078,128.1780511,벌-개량종,80,8423,6840.0,8423.0,165.0,1617.0,4041.0,5761.0,7973.0,873.0,6851.0,2914.0,5762.0,7977.0,1325.0,4043.0,4876.0,2095.0,8432.0,,
36.0793691,127.9792429,벌-개량종,10,847,845.0,2503.0,847.0,2067.0,5742.0,2062.0,1589.0,,,,,,,,,,,,
37.8624543,128.2199006,벌-개량종,1,2702,6657.0,8237.0,2702.0,1868.0,,,,,,,,,,,,,,,
37.2625905,128.9111959,벌-개량종,5,1058,,,,,,,,,,,,,,,,,,,
37.2625905,128.9111959,벌-개량종,17,1058,,,,,,,,,,,,,,,,,,,
33.2874612,126.5731538,벌-개량종,1,542,,,,,,,,,,,,,,,,,,,
37.1536019,127.339438,벌-개량종,1,5110,,,,,,,,,,,,,,,,,,,
37.9220961,128.4038892,벌-개량종,30,703,,,,,,,,,,,,,,,,,,,
37.2848222,127.0352449,벌-개량종,3,4241,4241.0,,,,,,,,,,,,,,,,,,
